我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 23:12
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,匹配类型,搜寻结果,手动/自动,开始日期,结束日期,浏览数,点击数,点击率,平均排名,转化,直接转化,转化率,直接转化率,每点击成本,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
1,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,kerusi gaming,广泛匹配,chair gaming,手动,28/10/2022 00:00,无限制,18,3,16.67%,15.11111111111111,1,1,33.33%,33.33%,0.48,1.45,1.45,1,1,241.00,241.00,1.45,166.21,166.21,0.60%,0.60%,N/A,N/A,N/A
2,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,gaming chair,精准匹配,Gaming chair,手动,28/10/2022 00:00,无限制,213,17,7.98%,7.413145539906103,0,0,0.00%,0.00%,0.37,0.00,0.00,0,0,0.00,0.00,6.31,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
3,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe rack,精准匹配,Shoe rack,手动,28/10/2022 00:00,无限制,133,15,11.28%,7.518796992481203,0,0,0.00%,0.00%,0.27,0.00,0.00,0,0,0.00,0.00,4.12,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
4,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,gaming chair,精准匹配,Gaming chair,手动,02/11/2022 00:00,无限制,136,11,8.09%,8.808823529411764,0,0,0.00%,0.00%,0.33,0.00,0.00,0,0,0.00,0.00,3.65,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
5,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,广泛匹配,kerusi gaming,手动,02/11/2022 00:00,无限制,92,11,11.96%,5.793478260869565,0,0,0.00%,0.00%,0.32,0.00,0.00,0,0,0.00,0.00,3.57,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
6,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,foldable table,精准匹配,Foldable table,手动,02/11/2022 00:00,无限制,86,11,12.79%,6.093023255813954,0,0,0.00%,0.00%,0.40,0.00,0.00,0,0,0.00,0.00,4.42,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
7,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,精准匹配,Kerusi gaming,手动,02/11/2022 00:00,无限制,29,9,31.03%,4.275862068965517,0,0,0.00%,0.00%,0.23,0.00,0.00,0,0,0.00,0.00,2.03,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
8,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju,精准匹配,Almari Baju,手动,09/12/2022 00:00,无限制,155,7,4.52%,13.651612903225807,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,1.33,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
9,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe cabinet,广泛匹配,Shoe cabinet,手动,28/10/2022 00:00,无限制,88,7,7.95%,6.954545454545454,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,1.50,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
10,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,gaming chair,广泛匹配,Gaming chair,手动,28/10/2022 00:00,无限制,83,7,8.43%,12.783132530120483,0,0,0.00%,0.00%,0.49,0.00,0.00,0,0,0.00,0.00,3.44,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
