我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 19:37
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,开始日期,结束日期,浏览数,点击数,点击率,转化,直接转化,转化率,直接转化率,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
1,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,进行中,21754155640,关联广告,全部,20/10/2022 17:26,无限制,4560,144,3.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,10.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
2,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,进行中,10098011012,关联广告,全部,22/02/2023 00:00,无限制,3489,197,5.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,15.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
3,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,进行中,18954466997,关联广告,全部,02/11/2022 00:00,无限制,3442,109,3.17%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,7.63,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
4,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,进行中,19249592182,关联广告,全部,09/10/2022 00:00,无限制,2147,73,3.40%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,5.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
5,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,进行中,10098011012,商品搜索广告,全部,09/12/2022 00:00,无限制,1466,106,7.23%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,20.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
6,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,进行中,19249592182,商品搜索广告,全部,28/10/2022 00:00,无限制,1257,89,7.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,22.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
7,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,进行中,21754155640,商品搜索广告,全部,28/10/2022 00:00,无限制,1020,60,5.88%,1,1,1.67%,1.67%,22.00,22.00,1,1,241.00,241.00,22.00,10.95,10.95,9.13%,9.13%,N/A,N/A,N/A
8,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,进行中,19654742951,商品搜索广告,全部,02/11/2022 00:00,无限制,970,39,4.02%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,15.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
9,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,进行中,18954466997,商品搜索广告,全部,02/11/2022 00:00,无限制,927,61,6.58%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,18.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
10,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,进行中,16786579435,商品搜索广告,全部,28/10/2022 00:00,无限制,622,29,4.66%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,13.04,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
